Jul 24 07:57:48 knight-t101 systemd[1]: Starting lods-installer.service - projekt-lods installer...
Jul 24 07:58:05 knight-t101 python3[1695]: I: Validating e2fsprogs 1.47.2-3+b11
Jul 24 07:58:05 knight-t101 python3[1695]: I: Retrieving fdisk 2.41-5
Jul 24 07:58:05 knight-t101 python3[1695]: I: Validating fdisk 2.41-5
Jul 24 07:58:05 knight-t101 python3[1695]: I: Retrieving findutils 4.10.0-3
Jul 24 07:58:05 knight-t101 python3[1695]: I: Validating findutils 4.10.0-3
Jul 24 07:58:05 knight-t101 python3[1695]: I: Retrieving gcc-14-base 14.2.0-19
Jul 24 07:58:05 knight-t101 python3[1695]: I: Validating gcc-14-base 14.2.0-19
Jul 24 07:58:05 knight-t101 python3[1695]: I: Retrieving grep 3.11-4
Jul 24 07:58:05 knight-t101 python3[1695]: I: Validating grep 3.11-4
Jul 24 07:58:05 knight-t101 python3[1695]: I: Retrieving gzip 1.13-1
Jul 24 07:58:05 knight-t101 python3[1695]: I: Validating gzip 1.13-1
Jul 24 07:58:05 knight-t101 python3[1695]: I: Retrieving hostname 3.25
Jul 24 07:58:05 knight-t101 python3[1695]: I: Validating hostname 3.25
Jul 24 07:58:05 knight-t101 python3[1695]: I: Retrieving ifupdown 0.8.44+deb13u1
Jul 24 07:58:05 knight-t101 python3[1695]: I: Validating ifupdown 0.8.44+deb13u1
Jul 24 07:58:05 knight-t101 python3[1695]: I: Retrieving init 1.69~deb13u1
Jul 24 07:58:05 knight-t101 python3[1695]: I: Validating init 1.69~deb13u1
Jul 24 07:58:05 knight-t101 python3[1695]: I: Retrieving init-system-helpers 1.69~deb13u1
Jul 24 07:58:05 knight-t101 python3[1695]: I: Validating init-system-helpers 1.69~deb13u1
Jul 24 07:58:05 knight-t101 python3[1695]: I: Retrieving iproute2 6.15.0-1
Jul 24 07:58:06 knight-t101 python3[1695]: I: Validating iproute2 6.15.0-1
Jul 24 07:58:06 knight-t101 python3[1695]: I: Retrieving iputils-ping 3:20240905-3
Jul 24 07:58:06 knight-t101 python3[1695]: I: Validating iputils-ping 3:20240905-3
Jul 24 07:58:06 knight-t101 python3[1695]: I: Retrieving kmod 34.2-2
Jul 24 07:58:06 knight-t101 python3[1695]: I: Validating kmod 34.2-2
Jul 24 07:58:06 knight-t101 python3[1695]: I: Retrieving less 668-1
Jul 24 07:58:06 knight-t101 python3[1695]: I: Validating less 668-1
Jul 24 07:58:06 knight-t101 python3[1695]: I: Retrieving libacl1 2.3.2-2+b1
Jul 24 07:58:06 knight-t101 python3[1695]: I: Validating libacl1 2.3.2-2+b1
Jul 24 07:58:06 knight-t101 python3[1695]: I: Retrieving libapparmor1 4.1.0-1
Jul 24 07:58:06 knight-t101 python3[1695]: I: Validating libapparmor1 4.1.0-1
Jul 24 07:58:06 knight-t101 python3[1695]: I: Retrieving libapt-pkg7.0 3.0.3
Jul 24 07:58:06 knight-t101 python3[1695]: I: Validating libapt-pkg7.0 3.0.3
Jul 24 07:58:06 knight-t101 python3[1695]: I: Retrieving libattr1 1:2.5.2-3
Jul 24 07:58:06 knight-t101 python3[1695]: I: Validating libattr1 1:2.5.2-3
Jul 24 07:58:06 knight-t101 python3[1695]: I: Retrieving libaudit-common 1:4.0.2-2
Jul 24 07:58:06 knight-t101 python3[1695]: I: Validating libaudit-common 1:4.0.2-2
Jul 24 07:58:06 knight-t101 python3[1695]: I: Retrieving libaudit1 1:4.0.2-2+b2
Jul 24 07:58:06 knight-t101 python3[1695]: I: Validating libaudit1 1:4.0.2-2+b2
Jul 24 07:58:06 knight-t101 python3[1695]: I: Retrieving libblkid1 2.41-5
Jul 24 07:58:06 knight-t101 python3[1695]: I: Validating libblkid1 2.41-5
Jul 24 07:58:06 knight-t101 python3[1695]: I: Retrieving libbpf1 1:1.5.0-3
